Topic,Words,Frequency,Timestamp,Name
-1,"1983, militar, 22924, excelentísimo, penal",311,1983-01-01,-1_él_provincia_caso_año
0,"hombre, argentino, pueblo, democracia, militar",104,1983-01-01,0_argentino_argentina_país_gobierno
1,"intransigente, aceptacer, criterio, salvir, percibir",3,1983-01-01,1_presupuesto_gasto_ciento_millón
3,"debate, desaloje, solicitaría, manos, motivo",7,1983-01-01,3_debate_discusión_tema_debatir
4,"22207, normalizador, universidad, provisorio, decano",2,1983-01-01,4_educación_universidad_docente_educativ...
6,"procedimientos, penal, código, excarcelación, pena",21,1983-01-01,6_penal_código_pena_delito
7,"297, 296, 294, 207, sustitutivo",5,1983-01-01,7_afi_127_129_131
8,"temamos, reservar, tributar, 108, ios",1,1983-01-01,8_impuesto_ganancia_tributario_fiscal
9,"22924, reservar, mesa, derogar, ",1,1983-01-01,9_registrar_afi_él_136
10,"palahra, lie, referir, balestra, aclarar",5,1983-01-01,10_haber_él_sr_referir
11,"sindical, reordenamiento, obrero, bancada, sueldo",16,1983-01-01,11_trabajo_trabajador_empleador_laboral
13,"reservar, liquidación, posteriormente, sueldo, mesa",1,1983-01-01,13_precio_dólares_italo_millón
15,"balbín, illia, arturo, rendir, ricardo",1,1983-01-01,15_doctor_caride_hoz_ocupar
16,"ballesteros, solari, perl, asentimicn, arata",6,1983-01-01,16_resulta_pala_afi_sin
17,"unaniuno, celestino, luán, tamilia, tramo",1,1983-01-01,17_ferroviario_ruta_ferrocarril_transpor...
19,"zarriello, personalidad, fassi, samuel, referir",9,1983-01-01,19_jurar_jura_someter_sr
20,"manifestación, amablemente, extraordinarias, formo, advertir",4,1983-01-01,20_manifestaciones_manifestación_barra_l...
21,"am1, pliación, 286, 292, 290",6,1983-01-01,21_diputados_5282_pala_pág
22,"vecto, ejército, viola, tido, videla",2,1983-01-01,22_militar_fuerza_defensa_soldati
23,"peticiones, grandeza, celo, debate, respuesta",4,1983-01-01,23_político_democracia_partido_debate
24,"campanilla, legislativa, landin, abbiate, vistalli",3,1983-01-01,24_legislador_congreso_legislativo_parla...
25,"entrado, sr, cabañas, perl, reservado",3,1983-01-01,25_sr_pala_concedo_álvaro
29,"1983, opordiciembre, rectificado, tunidad, 263",7,1983-01-01,29_1984_1985_diputados_véanse
30,"mocionaies, 22702, 22021, dussol, nordeste",2,1983-01-01,30_agropecuario_ganadería_productor_agri...
32,"tupie, amaya, ballesteros, solari, into",2,1983-01-01,32_evangelios_santos_dios_jurar
33,"delictuoso, existencia, acto, advertir, justificarar",3,1983-01-01,33_justicialista_juez_justicia_bancada
36,"memoria, concretado, rendido, arata, camarlinghi",11,1983-01-01,36_memoria_rendido_homenajes_rendir
38,"cívica, radical, unión, anticiparo, discutirer",5,1983-01-01,38_cívica_radical_unión_nombre
40,"añes, resulla, , , ",2,1983-01-01,40_leito_aparicio_alderete_leavy
44,"bicarneral, repetición, respeto, afirmativamente, boca",1,1983-01-01,44_respeto_respetar_respetuoso_señores
46,"invitir, iniciación, resolver, momento, autorizado",3,1983-01-01,46_momento_plazo_quórum_oportuno
47,"sr, , , , ",2,1983-01-01,47_agost_carreño_2º_xii
50,"22924, 187, manzano, inconstitucional, estimar",2,1983-01-01,50_decreto_648_alidez_derogar
53,"secretaria, presentar, , , ",1,1983-01-01,53_secretario_jefe_gabinete_secretaria
54,"micrófono, pero, tono, aparentemente, jaroslavsky",1,1983-01-01,54_micrófono_audio_sonido_receptor
55,"comentes, lee, autor, tura, guiar",5,1983-01-01,55_redacción_autor_copia_citación
56,"ajustar, mantener, , , ",1,1983-01-01,56_continúir_finalizar_proseguir_continú...
60,"jaroslavsky, ustieia, sr, bargo, deberíar",6,1983-01-01,60_jaroslavsky_sr_manzano_proposición
62,"oir, risas, creer, , ",1,1983-01-01,62_risas_humor_risa_reír
64,"individualizarlos, provisional, fallecimiento, lépori, baglini",3,1983-01-01,64_provincia_provincias_jura_requerírsel...
65,"150, entrado, ios, horario, previamente",2,1983-01-01,65_boletín_prescindir_enunciación_resuel...
